imports,biomass,geothermal,coal,natural gas,other,time,wind,biogas,date,small hydro,batteries,solar,nuclear,large hydro
7668,251,988,10,6172,0,00:00,2848,225,2019-01-07,186,-47,0,2268,926
7582,253,987,11,5171,0,01:00,3177,225,2019-01-07,188,6,0,2266,683
7467,252,988,11,5727,0,02:00,2885,225,2019-01-07,148,-18,0,2269,350
7387,255,989,10,5991,0,03:00,2511,225,2019-01-07,141,-27,0,2268,351
7745,239,938,11,6531,0,04:00,1811,225,2019-01-07,184,-6,0,2267,357
7712,243,919,13,6517,0,05:00,1348,225,2019-01-07,179,-2,0,2267,1194
8093,242,919,11,8022,0,06:00,1162,217,2019-01-07,182,-24,0,2268,1587
9159,199,919,11,9281,0,07:00,1004,216,2019-01-07,182,-13,14,2267,2069
9645,197,919,11,8294,0,08:00,896,221,2019-01-07,187,3,1425,2269,1819
7993,200,918,13,7773,0,09:00,757,214,2019-01-07,185,-32,3658,2268,1668
7507,194,917,13,6481,0,10:00,777,214,2019-01-07,189,-31,5312,2268,1346
6105,198,902,12,6288,0,11:00,745,213,2019-01-07,190,-31,6437,2269,1155
5588,196,904,14,6352,0,12:00,671,211,2019-01-07,190,60,6564,2269,1115
7703,287,878,13,8055,0,00:00,814,198,2019-01-08,160,9,0,2266,1231
7120,298,879,11,8211,0,01:00,658,198,2019-01-08,147,-6,0,2265,952
6816,300,882,11,8691,0,02:00,562,198,2019-01-08,149,-7,0,2265,564
6469,305,879,12,8520,0,03:00,736,198,2019-01-08,146,-17,0,2265,569
6695,304,877,12,8165,0,04:00,952,198,2019-01-08,148,-18,0,2263,604
6976,305,877,11,8807,0,05:00,930,198,2019-01-08,149,-52,0,2265,775
7607,307,875,12,9776,0,06:00,823,201,2019-01-08,191,-11,0,2265,1131
8572,307,876,12,11021,0,07:00,718,194,2019-01-08,201,30,28,2264,1478
7074,303,875,11,10772,0,08:00,485,197,2019-01-08,210,-30,1894,2264,1657
6386,315,875,12,9582,0,09:00,397,201,2019-01-08,174,-4,4207,2266,1155
5743,313,867,13,8556,0,10:00,446,199,2019-01-08,187,16,5551,2265,1063
4821,311,868,13,8610,0,11:00,423,201,2019-01-08,188,0,6240,2264,678
4724,307,867,13,8808,0,12:00,478,202,2019-01-08,183,0,6106,2264,599
4840,302,868,14,8950,0,13:00,364,204,2019-01-08,190,40,5931,2263,476
5226,303,869,13,8570,0,14:00,429,205,2019-01-08,189,-12,5465,2263,763
6287,316,870,13,9007,0,15:00,566,200,2019-01-08,196,20,3873,2263,912
7712,315,870,12,8635,0,00:00,648,227,2019-01-09,205,-23,0,2267,871
6936,313,870,13,8685,0,01:00,833,228,2019-01-09,176,-6,0,2264,665
6705,317,874,13,8223,0,02:00,1053,227,2019-01-09,187,-30,0,2265,523
6514,311,876,12,8071,0,03:00,1038,228,2019-01-09,188,-2,0,2265,539
6752,320,835,12,8376,0,04:00,627,228,2019-01-09,197,36,0,2262,629
7457,323,876,13,8594,0,05:00,458,228,2019-01-09,204,-19,0,2263,858
8054,324,875,12,8759,0,06:00,690,226,2019-01-09,242,-28,0,2262,1491
9296,297,876,13,9559,0,07:00,649,225,2019-01-09,239,48,1,2261,1966
7939,323,875,10,8990,0,08:00,691,222,2019-01-09,236,-23,2261,2262,1851
6883,332,877,12,7663,0,09:00,464,219,2019-01-09,229,-49,4976,2262,1389
5806,334,874,12,7436,0,10:00,601,219,2019-01-09,226,-3,5814,2262,1116
5339,316,835,13,7388,0,11:00,450,218,2019-01-09,235,31,5980,2263,1027
5113,319,835,13,7646,0,12:00,364,216,2019-01-09,188,39,5946,2262,867
5263,315,875,13,7535,0,13:00,506,218,2019-01-09,223,-21,6160,2261,643
5543,316,873,13,7422,0,14:00,503,223,2019-01-09,221,23,5943,2261,961
6298,313,877,13,7970,0,15:00,855,223,2019-01-09,256,-31,4171,2262,1243
7725,342,886,13,7416,0,00:00,1542,225,2019-01-10,251,4,0,2264,1040
7085,346,884,13,7313,0,01:00,1784,225,2019-01-10,249,-16,0,2260,749
6695,345,886,13,7303,0,02:00,1705,225,2019-01-10,215,6,0,2261,694
6849,352,886,13,7266,0,03:00,1279,225,2019-01-10,202,-6,0,2260,666
6891,351,887,12,7293,0,04:00,1436,217,2019-01-10,200,-1,0,2260,701
7225,350,887,12,7430,0,05:00,1597,221,2019-01-10,244,-18,0,2261,941
8254,349,887,12,8330,0,06:00,1607,228,2019-01-10,248,-37,0,2262,1143
9158,355,888,12,9517,0,07:00,1521,227,2019-01-10,281,14,0,2263,1559
8456,357,888,13,7974,0,08:00,1364,227,2019-01-10,240,-8,2305,2262,1790
7006,346,886,12,6855,0,09:00,941,227,2019-01-10,213,-43,5361,2262,1332
6401,334,885,13,5910,0,10:00,591,227,2019-01-10,201,-1,6684,2263,1109
5242,330,881,14,5930,0,11:00,493,226,2019-01-10,219,42,7174,2262,1045
4700,332,882,12,5793,0,12:00,561,222,2019-01-10,212,-3,7250,2261,1009
3899,333,881,13,6121,0,13:00,432,221,2019-01-10,229,-1,7700,2261,976
3978,337,880,13,6082,0,14:00,443,221,2019-01-10,228,0,7639,2263,1119
4941,334,878,13,6545,0,15:00,448,224,2019-01-10,223,0,6525,2262,1236
8434,344,884,15,7915,0,00:00,447,227,2019-01-11,243,58,0,2260,1084
8108,338,884,14,7912,0,01:00,452,228,2019-01-11,248,-45,0,2261,702
7998,343,885,14,7494,0,02:00,432,228,2019-01-11,240,-1,0,2262,661
7634,345,885,13,7545,0,03:00,516,221,2019-01-11,249,-2,0,2262,521
7673,347,883,13,7647,0,04:00,568,221,2019-01-11,245,-24,0,2261,577
7468,345,886,13,8540,0,05:00,705,221,2019-01-11,245,-100,0,2260,780
8057,347,885,17,9704,0,06:00,461,222,2019-01-11,246,-20,0,2263,1054
8861,348,885,13,11197,0,07:00,502,220,2019-01-11,233,-22,36,2263,1284
8400,348,884,17,9495,0,08:00,590,218,2019-01-11,232,24,1780,2263,1631
7948,346,884,15,8101,0,09:00,646,219,2019-01-11,234,-37,3997,2262,1297
6733,335,883,14,7425,0,10:00,626,222,2019-01-11,197,54,5391,2264,1329
6412,331,883,13,6964,0,11:00,661,225,2019-01-11,184,-11,5666,2263,1341
6137,331,882,15,6416,0,12:00,622,227,2019-01-11,214,7,5815,2263,1312
5595,340,880,12,6309,0,13:00,972,229,2019-01-11,197,-44,5868,2263,1260
6393,339,879,14,7108,0,14:00,916,227,2019-01-11,226,-74,4632,2263,1223
7273,331,879,14,7315,0,15:00,833,228,2019-01-11,258,-20,3386,2263,1424
7588,362,882,14,7562,0,00:00,1418,232,2019-01-12,232,-55,0,2263,1249
7371,360,884,12,7320,0,01:00,1388,234,2019-01-12,230,27,0,2263,940
7227,358,884,11,7106,0,02:00,1066,234,2019-01-12,222,-8,0,2264,910
7112,365,885,13,7246,0,03:00,793,233,2019-01-12,228,-34,0,2264,827
6910,363,887,12,7187,0,04:00,827,233,2019-01-12,229,-3,0,2264,776
7289,364,885,12,7262,0,05:00,691,234,2019-01-12,228,-38,0,2263,835
7989,370,885,12,7409,0,06:00,528,233,2019-01-12,267,-57,0,2264,943
8463,372,885,11,7770,0,07:00,637,233,2019-01-12,273,1,7,2263,955
8271,357,886,13,7842,0,08:00,644,232,2019-01-12,226,-2,751,2263,898
7843,355,886,12,7490,0,09:00,611,232,2019-01-12,227,-12,2158,2263,762
7016,357,883,12,6436,0,10:00,583,228,2019-01-12,231,-6,4124,2263,493
6938,352,866,13,5835,0,11:00,508,229,2019-01-12,232,110,4152,2263,557
5897,342,881,11,5608,0,12:00,524,231,2019-01-12,189,-23,5166,2262,381
6192,338,881,11,5752,0,13:00,618,231,2019-01-12,188,-17,4250,2265,375
5977,352,882,11,5771,0,14:00,834,231,2019-01-12,207,0,3877,2264,506
6266,356,882,13,6337,0,15:00,728,230,2019-01-12,238,95,2960,2263,934
7604,347,885,14,8436,0,00:00,387,230,2019-01-13,217,-18,0,2259,903
7403,354,884,13,7943,0,01:00,329,229,2019-01-13,222,-1,0,2261,854
6899,352,884,10,7808,0,02:00,303,230,2019-01-13,212,47,0,2262,828
6505,354,884,12,7875,0,03:00,303,230,2019-01-13,211,40,0,2262,778
6421,351,884,12,7915,0,04:00,268,230,2019-01-13,223,-5,0,2262,842
6403,350,885,11,7918,0,05:00,339,231,2019-01-13,210,-23,0,2263,981
7009,352,884,12,7783,0,06:00,358,230,2019-01-13,258,-24,0,2263,1048
7610,348,885,10,7845,0,07:00,471,230,2019-01-13,252,-13,9,2263,1075
5829,348,885,12,7462,0,08:00,381,230,2019-01-13,215,-70,2797,2263,931
3722,347,884,13,5615,0,09:00,414,230,2019-01-13,213,-50,6548,2263,662
3316,347,883,13,5035,0,10:00,420,230,2019-01-13,226,95,6951,2263,440
2866,336,883,14,4838,0,11:00,592,230,2019-01-13,219,3,7168,2264,339
3193,342,882,14,4906,0,12:00,807,231,2019-01-13,193,-21,6593,2263,329
4127,343,880,15,4988,0,13:00,747,231,2019-01-13,173,-103,6447,2263,255
4578,356,880,15,5532,0,14:00,753,231,2019-01-13,180,-34,5584,2263,333
5694,353,882,14,6459,0,15:00,812,230,2019-01-13,217,-25,3712,2264,585
6540,348,887,14,8306,0,00:00,1202,229,2019-01-14,211,52,0,2263,549
6554,345,888,12,7583,0,01:00,1345,230,2019-01-14,200,-6,0,2264,415
5832,346,888,12,7499,0,02:00,1597,230,2019-01-14,197,-44,0,2263,503
5738,349,887,13,7655,0,03:00,1454,230,2019-01-14,199,-2,0,2264,364
5666,349,887,14,7741,0,04:00,1659,230,2019-01-14,199,-82,0,2264,548
5890,350,887,14,8131,0,05:00,1787,226,2019-01-14,197,-9,0,2264,770
6721,340,888,13,8700,0,06:00,1789,229,2019-01-14,200,-55,0,2264,1321
8025,338,887,14,9586,0,07:00,1857,227,2019-01-14,201,14,2,2264,1831
8567,341,886,12,9623,0,08:00,1574,225,2019-01-14,197,48,700,2263,1915
7846,340,884,14,9528,0,09:00,1999,224,2019-01-14,200,-80,1735,2263,1846
7994,339,885,15,9606,0,10:00,2033,224,2019-01-14,205,-3,1753,2264,1682
8274,325,885,12,9740,0,11:00,1647,224,2019-01-14,197,12,1930,2263,1536
8186,335,886,12,9964,0,12:00,1136,224,2019-01-14,197,66,1891,2261,1889
8435,340,886,12,9715,0,13:00,1451,225,2019-01-14,200,47,1795,2263,1554
8550,363,886,12,10030,0,14:00,1179,225,2019-01-14,193,0,1139,2264,1594
9091,367,886,13,10026,0,15:00,855,227,2019-01-14,190,29,993,2262,1616
9662,365,887,14,10349,0,16:00,673,227,2019-01-14,220,-67,397,2261,1854
9670,367,905,12,11422,0,17:00,860,227,2019-01-14,271,-64,1,2263,2363
9136,365,904,14,12343,0,18:00,1152,226,2019-01-14,331,11,1,2262,2957
9401,365,904,13,11851,0,19:00,940,226,2019-01-14,331,25,1,2263,2818
9774,366,905,12,11263,0,20:00,937,227,2019-01-14,268,26,1,2264,2398
9764,361,903,12,10811,0,21:00,744,227,2019-01-14,226,15,1,2263,2054
9042,365,903,11,10264,0,22:00,610,226,2019-01-14,210,-17,1,2263,1598
7649,360,902,11,9838,0,23:00,628,226,2019-01-14,186,-1,1,2264,1095
7010,362,904,14,8904,0,00:00,666,225,2019-01-15,191,42,0,2264,979
6340,363,903,12,8754,0,01:00,742,224,2019-01-15,192,-38,0,2264,827
6015,362,902,14,9056,0,02:00,760,224,2019-01-15,188,-19,0,2263,518
5921,366,900,11,8583,0,03:00,859,225,2019-01-15,191,-21,0,2264,589
5767,363,901,14,8819,0,04:00,860,225,2019-01-15,191,-21,0,2263,648
6257,366,838,14,8641,0,05:00,988,226,2019-01-15,187,-98,0,2265,1130
7315,363,837,14,8827,0,06:00,1240,226,2019-01-15,196,-2,0,2264,1530
8333,365,837,14,9899,0,07:00,1181,221,2019-01-15,237,18,0,2265,2145
8020,365,842,11,10427,0,08:00,1293,222,2019-01-15,234,-22,296,2264,2351
8184,365,836,12,10471,0,09:00,1361,223,2019-01-15,197,2,790,2262,1941
8054,365,847,14,10342,0,10:00,1078,223,2019-01-15,190,-38,1544,2263,1367
8119,354,852,15,10045,0,11:00,1360,224,2019-01-15,198,-25,1529,2262,1147
7883,352,858,14,10038,0,12:00,1230,226,2019-01-15,193,39,1710,2262,771
7558,364,858,15,10200,0,13:00,1171,225,2019-01-15,204,54,2473,2262,690
7473,364,860,14,10303,0,14:00,1276,226,2019-01-15,205,18,2319,2262,1139
7786,366,859,15,10050,0,15:00,1315,226,2019-01-15,199,-79,1731,2263,1976
8281,364,862,14,10367,0,16:00,1464,225,2019-01-15,248,5,881,2263,1952
8444,353,888,13,11919,0,17:00,1289,226,2019-01-15,290,60,4,2262,2502
8676,356,894,13,12590,0,18:00,1433,226,2019-01-15,345,-47,4,2263,2722
8556,358,895,16,11931,0,19:00,1720,226,2019-01-15,343,27,4,2264,2724
8388,352,900,16,11755,0,20:00,1535,223,2019-01-15,285,25,4,2262,2792
8022,360,898,17,11650,0,21:00,1133,224,2019-01-15,248,-62,4,2263,2679
8052,359,901,17,10430,0,22:00,948,225,2019-01-15,222,-34,4,2262,1957
7537,356,901,14,9613,0,23:00,829,225,2019-01-15,206,87,4,2263,1157
7261,354,893,13,9075,0,00:00,1104,223,2019-01-16,206,-5,0,2262,532
6831,356,889,12,8343,0,01:00,1143,221,2019-01-16,209,24,0,2261,626
6290,357,887,14,8114,0,02:00,1255,221,2019-01-16,215,-16,0,2262,606
5983,361,889,14,7986,0,03:00,1336,221,2019-01-16,210,-14,0,2262,554
6056,362,888,15,7737,0,04:00,1528,220,2019-01-16,245,-13,0,2262,616
6228,369,886,15,7445,0,05:00,1797,219,2019-01-16,205,-67,0,2264,1132
7081,367,887,12,8021,0,06:00,1851,219,2019-01-16,212,4,0,2264,1471
7899,366,884,12,9542,0,07:00,1434,219,2019-01-16,254,22,8,2265,2166
7651,367,884,12,9610,0,08:00,1104,217,2019-01-16,262,-41,1536,2264,1773
6939,365,881,11,8823,0,09:00,1015,211,2019-01-16,254,-74,3508,2263,1333
6163,364,881,13,8364,0,10:00,1311,206,2019-01-16,224,55,4089,2263,1209
5628,356,881,11,8539,0,11:00,1368,209,2019-01-16,222,-21,4599,2263,1159
6332,349,881,13,8204,0,12:00,1076,208,2019-01-16,243,-45,4708,2262,1098
6695,353,879,14,8214,0,13:00,1335,215,2019-01-16,274,-1,4129,2263,1167
6758,365,878,12,8258,0,14:00,1644,218,2019-01-16,275,-53,4117,2263,1156
6757,365,852,13,8745,0,15:00,2050,217,2019-01-16,318,-98,3137,2263,1225
7470,364,876,12,9568,0,16:00,2158,218,2019-01-16,383,-62,1311,2262,1712
7863,363,873,11,11325,0,17:00,1968,218,2019-01-16,365,-12,26,2262,2471
8651,364,872,10,11749,0,18:00,1715,218,2019-01-16,422,6,1,2263,2717
8830,352,872,12,11159,0,19:00,1763,219,2019-01-16,425,-20,1,2263,2706
9133,341,870,11,10514,0,20:00,1630,221,2019-01-16,427,44,1,2262,2491
8920,295,870,10,10177,0,21:00,1538,221,2019-01-16,336,-15,1,2262,2123
8143,299,876,12,9285,0,22:00,1486,221,2019-01-16,283,81,1,2263,1910
7379,305,879,10,8282,0,23:00,1670,220,2019-01-16,284,33,1,2263,1368
7031,324,883,10,7845,0,00:00,1785,220,2019-01-17,300,-20,0,2262,794
6712,315,890,10,6908,0,01:00,2119,223,2019-01-17,296,-8,0,2262,808
6138,317,890,11,6570,0,02:00,2341,224,2019-01-17,293,-83,0,2262,827
5898,318,888,9,6754,0,03:00,2073,223,2019-01-17,276,-11,0,2262,790
5919,325,825,11,7459,0,04:00,1541,222,2019-01-17,293,-11,0,2263,808
6585,341,846,9,7714,0,05:00,1265,223,2019-01-17,319,-76,0,2262,1100
7468,339,850,10,7908,0,06:00,1152,224,2019-01-17,316,-54,0,2263,1592
8356,331,850,10,9294,0,07:00,1266,222,2019-01-17,332,15,44,2263,1887
7740,344,854,9,9341,0,08:00,1892,220,2019-01-17,314,-43,721,2263,1909
7189,352,852,11,9934,0,09:00,1486,218,2019-01-17,328,-2,1816,2263,1682
6609,352,853,10,8817,0,10:00,2078,216,2019-01-17,288,-28,3209,2262,1632
6464,340,852,10,8873,0,11:00,2161,216,2019-01-17,296,-59,3093,2262,1658
6765,340,862,11,8986,0,12:00,2107,217,2019-01-17,301,-73,2568,2261,1681
6059,348,882,9,8310,0,13:00,3230,219,2019-01-17,305,-73,2707,2258,1533
6535,348,881,11,7969,0,14:00,3324,218,2019-01-17,288,-53,2480,2258,1519
7294,351,881,11,9139,0,15:00,2615,219,2019-01-17,305,-89,922,2255,1783
8066,352,879,10,9550,0,16:00,2135,220,2019-01-17,314,14,708,2254,1589
8620,341,881,10,10109,0,17:00,2227,221,2019-01-17,365,11,10,2252,2138
9179,340,898,11,10246,0,18:00,2640,223,2019-01-17,393,40,10,2252,2352
8720,336,900,10,9676,0,19:00,3008,222,2019-01-17,401,1,10,2253,2484
8543,342,899,11,9783,0,20:00,2922,221,2019-01-17,353,-10,10,2255,2055
8058,342,892,11,8989,0,21:00,3288,222,2019-01-17,300,-25,10,2254,2000
8114,339,895,12,7501,0,22:00,3334,223,2019-01-17,298,-33,10,2255,1812
7329,345,897,13,6252,0,23:00,3399,221,2019-01-17,261,-22,10,2255,1761
7192,358,894,12,5880,0,00:00,3179,221,2019-01-18,222,-4,0,2253,1327
6708,367,884,11,5705,0,01:00,2935,222,2019-01-18,226,-9,0,2252,1216
6309,355,915,13,5298,0,02:00,3081,222,2019-01-18,221,-39,0,2254,1247
6253,350,914,12,5284,0,03:00,2838,219,2019-01-18,222,-30,0,2253,1214
6233,354,915,13,5365,0,04:00,2827,223,2019-01-18,226,45,0,2253,1175
6876,354,915,12,5765,0,05:00,2608,223,2019-01-18,220,-1,0,2256,1221
8333,355,915,12,6562,0,06:00,2252,223,2019-01-18,265,-78,0,2254,1354
9200,349,917,13,8019,0,07:00,2100,219,2019-01-18,263,22,30,2256,1654
7723,352,914,11,7292,0,08:00,1913,219,2019-01-18,257,-100,2522,2255,1752
5662,336,916,11,5579,0,09:00,2445,222,2019-01-18,244,-52,5278,2255,1642
5451,346,916,12,5482,0,10:00,2648,222,2019-01-18,248,-66,5573,2256,1256
4185,320,913,11,4624,0,11:00,2872,222,2019-01-18,240,-78,7132,2254,1197
4699,315,912,11,4979,0,12:00,2236,222,2019-01-18,237,-89,6962,2253,1176
4519,315,913,12,5440,0,13:00,1531,223,2019-01-18,243,51,6573,2252,1148
3916,325,911,12,5150,0,14:00,1450,221,2019-01-18,270,34,6845,2253,1492
4563,335,911,11,5198,0,15:00,1039,220,2019-01-18,276,-4,6510,2253,1512
7200,339,912,11,6691,0,16:00,1096,220,2019-01-18,325,-49,3051,2254,1736
8793,341,911,11,8903,0,17:00,1183,220,2019-01-18,317,2,198,2253,2137
8953,337,913,12,10286,0,18:00,1121,217,2019-01-18,376,9,11,2255,2720
9062,357,912,12,10034,0,19:00,840,224,2019-01-18,377,1,9,2255,2695
9493,366,913,10,9379,0,20:00,703,227,2019-01-18,372,-2,9,2254,2511
9271,366,929,10,9191,0,21:00,610,230,2019-01-18,316,-3,9,2255,2244
9140,366,915,10,9053,0,22:00,511,230,2019-01-18,324,9,9,2255,1702
8275,362,914,9,8663,0,23:00,543,229,2019-01-18,292,-8,9,2255,1536
7719,361,914,10,7789,0,00:00,577,229,2019-01-19,262,4,0,2254,1476
7684,357,914,11,7004,0,01:00,584,230,2019-01-19,218,-20,0,2256,1370
7384,358,914,10,6501,0,02:00,579,225,2019-01-19,226,-3,0,2255,1420
7307,359,913,12,6273,0,03:00,574,223,2019-01-19,217,5,0,2257,1362
7537,362,913,9,5769,0,04:00,604,226,2019-01-19,226,-1,0,2257,1443
7479,362,914,11,6238,0,05:00,588,225,2019-01-19,212,-21,0,2258,1439
8158,361,912,12,6309,0,06:00,467,225,2019-01-19,269,-6,0,2258,1544
8478,363,913,12,6920,0,07:00,423,225,2019-01-19,314,20,72,2258,1507
7089,363,914,10,6181,0,08:00,366,228,2019-01-19,313,-43,2687,2257,1248
5203,362,913,12,4185,0,09:00,390,228,2019-01-19,324,-74,6398,2258,1045
3957,363,911,13,3628,0,10:00,378,226,2019-01-19,276,19,7802,2258,950
3047,352,912,13,3698,0,11:00,368,226,2019-01-19,248,-27,8157,2257,967
2703,359,911,13,3619,0,12:00,423,229,2019-01-19,237,-43,8356,2257,816
2523,362,909,8,3651,0,13:00,397,224,2019-01-19,237,8,8305,2257,924
3144,360,907,12,3955,0,14:00,380,225,2019-01-19,266,-3,8157,2258,718
3795,363,921,12,4286,0,15:00,364,225,2019-01-19,322,-21,7079,2256,1000
6460,362,949,10,5335,0,16:00,344,225,2019-01-19,317,7,3585,2256,1635
8337,365,949,11,7873,0,17:00,433,224,2019-01-19,351,-32,346,2257,2163
9098,361,949,12,8851,0,18:00,426,227,2019-01-19,412,49,0,2257,2444
9277,361,970,13,8219,0,19:00,513,224,2019-01-19,420,-9,0,2258,2623
9234,365,985,13,7882,0,20:00,578,224,2019-01-19,377,16,0,2258,2380
9524,364,986,13,8187,0,21:00,575,227,2019-01-19,318,13,0,2258,1516
9129,366,986,12,7753,0,22:00,531,226,2019-01-19,318,3,0,2258,1360
8202,364,986,13,7725,0,23:00,481,226,2019-01-19,266,18,0,2258,1120
7654,361,986,12,7103,0,00:00,441,226,2019-01-20,278,-8,0,2257,1095
7479,355,983,12,6565,0,01:00,383,226,2019-01-20,276,4,0,2257,1041
7316,358,984,12,6146,0,02:00,406,227,2019-01-20,244,0,0,2257,1014
7163,356,985,12,5990,0,03:00,363,227,2019-01-20,236,-4,0,2258,1019
7058,361,984,11,5788,0,04:00,459,227,2019-01-20,281,-17,0,2258,1041
7161,365,983,12,5780,0,05:00,558,223,2019-01-20,265,-8,0,2257,1024
7587,364,980,12,5965,0,06:00,599,224,2019-01-20,276,-50,0,2258,1039
7554,363,984,12,6125,0,07:00,918,223,2019-01-20,302,-1,69,2260,1102
6455,364,984,12,5904,0,08:00,814,223,2019-01-20,272,12,2013,2260,1014
5580,364,985,14,4940,0,09:00,1126,224,2019-01-20,232,-45,4006,2259,926
5076,364,986,13,4456,0,10:00,1267,223,2019-01-20,243,-65,4902,2259,895
4509,348,984,13,4028,0,11:00,1513,224,2019-01-20,249,-24,5344,2259,852
4067,357,985,11,3641,0,12:00,1395,224,2019-01-20,261,-98,6108,2257,820
3235,361,988,10,3760,0,13:00,2152,224,2019-01-20,244,-59,6727,2255,507
4016,359,989,11,3884,0,14:00,2831,224,2019-01-20,295,94,4593,2256,925
5029,360,989,12,4963,0,15:00,2372,224,2019-01-20,276,-98,3612,2255,1030
6722,369,987,12,6024,0,16:00,2006,224,2019-01-20,321,-5,1782,2255,1086
8097,363,990,10,6639,0,17:00,2338,224,2019-01-20,311,37,48,2255,1877
8775,371,992,12,6785,0,18:00,3115,224,2019-01-20,428,8,8,2257,2273
8376,369,991,12,6249,0,19:00,3647,225,2019-01-20,420,-51,8,2258,2384
8385,370,993,11,6884,0,20:00,3264,230,2019-01-20,327,-7,8,2258,2019
8077,370,993,12,7187,0,21:00,3393,230,2019-01-20,315,11,8,2259,1378
7402,369,994,13,6751,0,22:00,3300,230,2019-01-20,309,63,8,2258,1336
6914,368,995,12,5898,0,23:00,3458,230,2019-01-20,300,-81,8,2258,1275
5935,364,994,11,5206,0,00:00,4081,230,2019-01-21,301,-45,0,2257,1118
5853,364,994,13,4280,0,01:00,4158,230,2019-01-21,246,20,0,2257,1217
5762,367,993,14,4256,0,02:00,3965,230,2019-01-21,240,-28,0,2257,1142
5653,349,995,12,3989,0,03:00,4069,231,2019-01-21,245,-21,0,2257,1108
6028,346,995,12,4735,0,04:00,3185,231,2019-01-21,231,-50,0,2257,1170
6170,347,995,12,5074,0,05:00,3461,226,2019-01-21,237,-47,0,2258,1317
7437,344,995,12,5821,0,06:00,3073,226,2019-01-21,274,-83,0,2259,1343
8848,295,995,11,6246,0,07:00,2639,225,2019-01-21,315,20,3,2258,1642
7821,296,997,11,5526,0,08:00,2485,228,2019-01-21,314,61,2301,2261,1569
4080,336,997,10,4692,0,09:00,3095,227,2019-01-21,272,6,6193,2261,1422
3180,346,997,10,4095,0,10:00,3449,227,2019-01-21,269,-37,7019,2262,1194
1593,336,997,13,4050,0,11:00,3832,224,2019-01-21,234,111,7654,2260,1149
1081,338,995,14,4095,0,12:00,3992,225,2019-01-21,252,8,7680,2260,1156
1874,353,994,12,4327,0,13:00,3749,200,2019-01-21,241,41,7445,2258,726
2855,348,993,12,4718,0,14:00,3258,205,2019-01-21,258,-80,6839,2258,785
3550,347,995,12,4793,0,15:00,3183,199,2019-01-21,274,-21,6457,2257,841
5697,355,994,12,5935,0,16:00,3036,222,2019-01-21,325,-12,3700,2258,1276
8318,351,994,12,7809,0,17:00,3001,227,2019-01-21,318,83,275,2258,2000
8943,355,996,12,9143,0,18:00,3087,221,2019-01-21,368,43,105,2257,2743
8679,355,996,10,8562,0,19:00,3936,226,2019-01-21,375,0,105,2257,2562
8616,369,996,9,8154,0,20:00,4183,225,2019-01-21,374,4,105,2258,2327
8478,363,995,6,7650,0,21:00,4190,228,2019-01-21,316,3,105,2260,2067
8067,361,992,9,6855,0,22:00,4144,228,2019-01-21,307,-17,105,2262,1703
6593,365,993,10,6115,0,23:00,4411,228,2019-01-21,303,-6,105,2262,1610
6355,368,994,11,6187,0,00:00,4023,228,2019-01-22,231,46,0,2258,1176
6482,368,995,11,5830,0,01:00,3374,229,2019-01-22,216,-17,0,2257,1280
6244,363,995,11,5849,0,02:00,2989,228,2019-01-22,236,25,0,2258,1204
6543,370,995,12,6312,0,03:00,2236,229,2019-01-22,222,-2,0,2258,1096
6418,373,996,11,6624,0,04:00,2190,228,2019-01-22,237,-13,0,2258,1215
7017,369,998,9,6780,0,05:00,2029,228,2019-01-22,216,-53,0,2259,1537
8169,361,997,9,8009,0,06:00,1653,228,2019-01-22,285,-61,0,2259,1741
8950,360,998,14,9280,0,07:00,1591,227,2019-01-22,315,49,62,2261,2221
7745,364,999,11,8244,0,08:00,1166,226,2019-01-22,278,-92,3384,2260,1596
4878,358,999,12,6331,0,09:00,1050,227,2019-01-22,277,-67,7353,2261,1312
3650,356,997,13,5105,0,10:00,1504,227,2019-01-22,274,-48,8021,2261,1386
3655,349,996,13,5112,0,11:00,1605,224,2019-01-22,274,-14,7555,2262,973
4044,356,996,12,5407,0,12:00,1445,224,2019-01-22,246,-60,7730,2260,303
4032,363,995,13,5506,0,13:00,1047,224,2019-01-22,246,-46,7821,2260,365
4177,360,980,14,5785,0,14:00,787,223,2019-01-22,236,46,7913,2260,410
4055,363,984,14,5741,0,15:00,816,223,2019-01-22,289,-17,7220,2257,1056
5759,364,983,10,7317,0,16:00,633,225,2019-01-22,337,-22,4886,2257,1227
8456,363,987,14,10473,0,17:00,437,227,2019-01-22,336,46,313,2258,1793
9237,361,987,13,11875,0,18:00,441,227,2019-01-22,400,55,18,2257,2628
9185,358,988,13,11523,0,19:00,399,228,2019-01-22,394,23,18,2258,2911
9445,359,987,12,11354,0,20:00,362,228,2019-01-22,399,39,18,2256,2456
9450,361,986,13,10778,0,21:00,410,228,2019-01-22,347,-2,18,2258,2154
8869,362,987,10,10086,0,22:00,446,228,2019-01-22,339,-2,18,2260,1728
8125,360,988,13,9194,0,23:00,526,228,2019-01-22,299,-7,18,2261,1391
7813,355,989,12,8839,0,00:00,488,227,2019-01-23,292,-16,0,2259,992
7536,353,988,13,8371,0,01:00,478,228,2019-01-23,298,-50,0,2258,943
7195,343,986,14,8242,0,02:00,428,228,2019-01-23,298,-21,0,2257,820
7084,361,986,13,8164,0,03:00,433,228,2019-01-23,290,-5,0,2258,838
7034,363,986,12,8223,0,04:00,426,227,2019-01-23,300,-6,0,2258,935
